 Studio 107.5        mms://live.alleredge.com/AE_StudioSE_Mid
* NERadio Nonstop No DJ	http://www.neradio.fm/listen.pls
* NERadio Sweden	http://www.neradio.se/listen.pls
* OneFM			http://217.198.148.101
* Playdio		http://www.playdio.se/bredband.pls
* Radio Live		http://www.radiolive.se/lyssna/?x=RadioLive.pls
* Radiobus		http://serv.radiobus.se:3745/listen.pls
* Radioseven		http://www.radioseven.se/128.pls
* Refugen		mms://qstream-live.qbrick.com/06912live_refugen
* Soundic Radio		http://www.soundicradio.com/listen.pls
* Valhalla Radio	http://fosterland.mine.nu:8000/listen.pls


Soma FM (Internationell):
=========================
(För en förklaring på vad kanalerna spelar föreslås ett besök på http://somafm.com )
* Beat Blender			http://somafm.com/beatblender.pls
* Boot Liquor			http://somafm.com/bootliquor.pls
* Christmas Lounge		http://somafm.com/christmas.pls
* cliqhop idm			http://somafm.com/cliqhop.pls
* Digitalis			http://somafm.com/digitalis.pls
* Doomed			http://somafm.com/doomed.pls
* Drone Zone			http://somafm.com/dronezone.pls
* Groove Salad			http://somafm.com/groovesalad.pls
* Illinois Street Lounge	http://somafm.com/illstreet.pls
* indie pop rocks		http://somafm.com/indiepop.pls
* Lush				http://somafm.com/lush.pls
* Secret Agent			http://somafm.com/secretagent.pls
* Sonic Universe		http://somafm.com/sonicuniverse.pls
* Space Station Soma		http://somafm.com/spacestation.pls
* Tag's Trip			http://somafm.com/tags.pls
* Xmas in Frisko		http://somafm.com/xmasinfrisko.pls


Sky.FM (Internationell):
========================
* All Hit 70s			http://www.sky.fm/mp3/hit70s.pls
* Alternative Rock		http://www.sky.fm/mp3/altrock.pls
* Beatles Tribute		http://www.sky.fm/mp3/beatles.pls
* Best of the 80s		http://www.sky.fm/mp3/the80s.pls
* Bossa Nova Jazz		http://www.sky.fm/mp3/bossanova.pls
* Classic Rap			http://www.sky.fm/mp3/classicrap.pls
* Classic Rock			http://www.sky.fm/mp3/classicrock.pls
* Classical Guitar		http://www.sky.fm/mp3/guitar.pls
* Contemporary Christian	http://www.sky.fm/mp3/christian.pls
* Country			http://www.sky.fm/mp3/country.pls
* DaTempo Lounge		http://www.sky.fm/mp3/datempolounge.pls
* Indie Rock			http://www.sky.fm/mp3/indierock.pls
* Love Music			http://www.sky.fm/mp3/lovemusic.pls
* Modern Jazz			http://www.sky.fm/mp3/jazz.pls
* Mostly Classical		http://www.sky.fm/mp3/classical.pls
* New Age			http://www.sky.fm/mp3/newage.pls
* Oldies			http://www.sky.fm/mp3/oldies.pls
* Piano Jazz			http://www.sky.fm/mp3/pianojazz.pls
* Roots Reggae			http://www.sky.fm/mp3/rootsreggae.pls
* Salsa				http://www.sky.fm/mp3/salsa.pls
* Simply Soundtracks		http://www.sky.fm/mp3/soundtracks.pls
* Smooth Jazz			http://www.sky.fm/mp3/smoothjazz.pls
* Smooth Jazz Uptempo		http://www.sky.fm/mp3/uptemposmoothjazz.pls
* Solo Piano			http://www.sky.fm/mp3/solopiano.pls
* Top Hits Music		http://www.sky.fm/mp3/tophits.pls
* Urban Jamz			http://www.sky.fm/mp3/urbanjamz.pls
* World Music			http://www.sky.fm/mp3/world.pls


DI.FM (Internationell):
=======================
* Ambient		http://www.di.fm/mp3/ambient.pls
* Breaks		http://www.di.fm/mp3/breaks.pls
* Chillout		http://www.di.fm/mp3/chillout.pls
* DJ Mixes		http://www.di.fm/mp3/djmixes.pls
* Drum 'n' Bass		http://www.di.fm/mp3/drumandbass.pls
* Electro House		http://www.di.fm/mp3/electro.pls
* Euro Dance		http://www.di.fm/mp3/eurodance.pls
* Exposure NYC		http://www.di.fm/mp3/exposurenyc.pls
* Funky House		http://www.di.fm/mp3/funkyhouse.pls
* Future Synthpop	http://www.di.fm/mp3/futuresynthpop.pls
* Gabber		http://www.di.fm/mp3/gabber.pls
* Goa-Psy Trance	http://www.di.fm/mp3/goapsy.pls
* Hard Core		http://www.di.fm/mp3/hardcore.pls
* Hard Dance		http://www.di.fm/mp3/harddance.pls
* Hardstyle		http://www.di.fm/mp3/hardstyle.pls
* House			http://www.di.fm/mp3/house.pls
* Lounge		http://www.di.fm/mp3/lounge.pls
* Minimal		http://www.di.fm/mp3/minimal.pls
* Oldschool Electronica	http://www.di.fm/mp3/classictechno.pls
* Progressive		http://www.di.fm/mp3/progressive.pls
* Soulful House		http://www.di.fm/mp3/soulfulhouse.pls
* Techno		http://www.di.fm/mp3/techno.pls
* Trance		http://www.di.fm/mp3/trance.pls
* Tribal House		http://www.di.fm/mp3/tribalhouse.pls
* Vocal Trance		http://www.di.fm/mp3/vocaltrance.pls


